Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2018-10-23,FD618,"Bangkok / Don Mueang International (DMK/VTBD)","Siem Reap / Siem Reap International Airport (REP/VDSR)",16:00:00,17:00:00,01:00:00,"Air Asia (AK/AXM)"," ()",,,0,1,1,,3565,2502,103,0
2018-10-26,SQ5001,"Siem Reap / Siem Reap International Airport (REP/VDSR)","Singapore / Changi (SIN/WSSS)",12:10:00,15:25:00,02:15:00,"Singapore Airlines (SQ/SIA)","Airbus A320-200 (A320)",,,0,1,1,,2502,2672,703,2059
